
> hospital-dashboard@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.21.96.1:3000
- Environments: .env

✓ Starting...
Creating turbopack project { dir: 'E:\\downloads all\\Medi', testMode: true }
○ Compiling proxy ...
✓ Ready in 29s
○ Compiling /login ...
 GET /api/auth/session 200 in 18ms (compile: 5ms, proxy.ts: 5ms, render: 9ms)
 GET / 200 in 61ms (compile: 4ms, proxy.ts: 4ms, render: 53ms)
 GET /api/branches 200 in 65ms (compile: 26ms, proxy.ts: 21ms, render: 18ms)
 GET /api/auth/session 200 in 85ms (compile: 59ms, proxy.ts: 14ms, render: 12ms)
 GET /api/dashboard 200 in 87ms (compile: 11ms, proxy.ts: 40ms, render: 37ms)
 GET /api/branches 200 in 11ms (compile: 2ms, proxy.ts: 4ms, render: 4ms)
 GET /api/products 200 in 300ms (compile: 16ms, proxy.ts: 39ms, render: 244ms)
 GET /products 200 in 22ms (compile: 4ms, proxy.ts: 4ms, render: 15ms)
 GET /api/products 200 in 257ms (compile: 4ms, proxy.ts: 8ms, render: 244ms)
 GET /api/products 200 in 250ms (compile: 3ms, proxy.ts: 8ms, render: 239ms)
 GET /sales 200 in 29ms (compile: 5ms, proxy.ts: 6ms, render: 18ms)
 GET /api/sales 200 in 42ms (compile: 11ms, proxy.ts: 13ms, render: 17ms)
 GET /api/sales 200 in 53ms (compile: 2ms, proxy.ts: 14ms, render: 37ms)
 GET /api/products 200 in 293ms (compile: 6ms, proxy.ts: 13ms, render: 274ms)
 GET /api/products 200 in 231ms (compile: 2ms, proxy.ts: 4ms, render: 225ms)
 GET /login?callbackUrl=%2F 200 in 42ms (compile: 4ms, proxy.ts: 4ms, render: 34ms)
[?25h
