
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.22.64.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 19.7s
○ Compiling /login ...
 GET /api/suppliers 200 in 137ms (compile: 31ms, proxy.ts: 68ms, render: 38ms)
 GET /api/purchases 200 in 140ms (compile: 57ms, proxy.ts: 70ms, render: 14ms)
 GET /api/products/aliases 200 in 145ms (compile: 47ms, proxy.ts: 69ms, render: 29ms)
 GET /api/products 200 in 557ms (compile: 38ms, proxy.ts: 69ms, render: 451ms)
 GET /api/suppliers 200 in 465ms (compile: 29ms, proxy.ts: 426ms, render: 10ms)
 GET /api/purchases 200 in 469ms (compile: 33ms, proxy.ts: 427ms, render: 10ms)
 GET /purchases 200 in 135ms (compile: 63ms, proxy.ts: 55ms, render: 17ms)
 GET /api/products 200 in 299ms (compile: 30ms, proxy.ts: 56ms, render: 213ms)
 GET /purchases 200 in 24ms (compile: 4ms, proxy.ts: 5ms, render: 15ms)
 GET /api/auth/session 200 in 58ms (compile: 17ms, proxy.ts: 7ms, render: 33ms)
 GET /api/auth/session 200 in 41ms (compile: 16ms, proxy.ts: 7ms, render: 18ms)
 POST /api/ocr/process-invoice 200 in 19.3s (compile: 16ms, proxy.ts: 8ms, render: 19.3s)
 GET /api/auth/session 200 in 33ms (compile: 13ms, proxy.ts: 6ms, render: 15ms)
 GET /api/auth/session 200 in 55ms (compile: 12ms, proxy.ts: 6ms, render: 36ms)
 GET /api/auth/session 200 in 59ms (compile: 14ms, proxy.ts: 7ms, render: 37ms)
 GET /api/auth/session 200 in 33ms (compile: 12ms, proxy.ts: 6ms, render: 15ms)
 GET /api/auth/session 200 in 52ms (compile: 14ms, proxy.ts: 6ms, render: 32ms)
 GET /api/auth/session 200 in 59ms (compile: 18ms, proxy.ts: 10ms, render: 31ms)
 GET /api/auth/session 200 in 52ms (compile: 11ms, proxy.ts: 6ms, render: 35ms)
 POST /api/products 200 in 59ms (compile: 8ms, proxy.ts: 11ms, render: 41ms)
 POST /api/products 200 in 91ms (compile: 8ms, proxy.ts: 10ms, render: 73ms)
 POST /api/products 200 in 93ms (compile: 7ms, proxy.ts: 11ms, render: 75ms)
 POST /api/products 200 in 95ms (compile: 9ms, proxy.ts: 10ms, render: 76ms)
 POST /api/products 200 in 99ms (compile: 7ms, proxy.ts: 11ms, render: 80ms)
 POST /api/products 200 in 764ms (compile: 7ms, proxy.ts: 12ms, render: 745ms)
 POST /api/products 200 in 1028ms (compile: 11ms, proxy.ts: 14ms, render: 1003ms)
 POST /api/products 200 in 1032ms (compile: 10ms, proxy.ts: 15ms, render: 1007ms)
 POST /api/products 200 in 1112ms (compile: 10ms, proxy.ts: 15ms, render: 1087ms)
 POST /api/products 200 in 1253ms (compile: 2ms, proxy.ts: 5ms, render: 1245ms)
 GET /purchases 200 in 126ms (compile: 10ms, proxy.ts: 79ms, render: 37ms)
 POST /api/products 200 in 1939ms (compile: 10ms, proxy.ts: 14ms, render: 1914ms)
 GET /purchases 200 in 216ms (compile: 143ms, proxy.ts: 52ms, render: 20ms)
 GET /purchases 200 in 146ms (compile: 55ms, proxy.ts: 65ms, render: 25ms)
 GET /purchases 200 in 34ms (compile: 4ms, proxy.ts: 12ms, render: 18ms)
 GET /api/products 200 in 337ms (compile: 45ms, proxy.ts: 67ms, render: 224ms)
 POST /api/products/suppliers 200 in 530ms (compile: 22ms, proxy.ts: 29ms, render: 478ms)
 POST /api/products/suppliers 200 in 593ms (compile: 20ms, proxy.ts: 32ms, render: 542ms)
 POST /api/products/suppliers 200 in 623ms (compile: 21ms, proxy.ts: 30ms, render: 572ms)
 POST /api/products/suppliers 200 in 659ms (compile: 20ms, proxy.ts: 31ms, render: 608ms)
 POST /api/products/suppliers 200 in 783ms (compile: 20ms, proxy.ts: 31ms, render: 731ms)
 POST /api/products/suppliers 200 in 231ms (compile: 6ms, proxy.ts: 11ms, render: 214ms)
 POST /api/products/suppliers 200 in 715ms (compile: 5ms, proxy.ts: 12ms, render: 698ms)
 POST /api/products/suppliers 200 in 744ms (compile: 5ms, proxy.ts: 11ms, render: 727ms)
 POST /api/products/suppliers 200 in 398ms (compile: 16ms, proxy.ts: 14ms, render: 369ms)
 POST /api/products/suppliers 200 in 840ms (compile: 1961µs, proxy.ts: 5ms, render: 834ms)
 POST /api/products/suppliers 200 in 513ms (compile: 46ms, proxy.ts: 51ms, render: 416ms)
 POST /api/products/suppliers 200 in 516ms (compile: 45ms, proxy.ts: 53ms, render: 418ms)
 POST /api/products/suppliers 200 in 1320ms (compile: 6ms, proxy.ts: 10ms, render: 1304ms)
